"","Site","B.Al.mg.kg.soil","C.Al.mg.kg.soil","O.Al.mg.kg.soil","B.Ca.mg.kg.soil","C.Ca.mg.kg.soil","O.Ca.mg.kg.soil","B.Fe.mg.kg.soil","C.Fe.mg.kg.soil","O.Fe.mg.kg.soil","B.K.mg.kg.soil","C.K.mg.kg.soil","O.K.mg.kg.soil","B.Mg.mg.kg.soil","C.Mg.mg.kg.soil","O.Mg.mg.kg.soil","B.Mn.mg.kg.soil","C.Mn.mg.kg.soil","O.Mn.mg.kg.soil","B.Na.mg.kg.soil","C.Na.mg.kg.soil","O.Na.mg.kg.soil","B.P.mg.kg.soil","C.P.mg.kg.soil","O.P.mg.kg.soil","B.Sr.mg.kg.soil","C.Sr.mg.kg.soil","O.Sr.mg.kg.soil","B.pH","C.pH","O.pH","B.Bottom_actual","C.Bottom_actual","O.Bottom_actual","B.Bottom_full","C.Bottom_full","O.Bottom_full","B.percent_N","C.percent_N","O.percent_N","B.percent_C","C.percent_C","O.percent_C","B.Top_Depth","C.Top_Depth","O.Top_Depth"
"122",138,700.4702,1063.6968,78.6805,147.0026,27.5388,1115.131,475.2576,57.2157,23.7214,48.7563,14.537,239.1256,15.5247,2.2938,158.1684,1.9285,1.1718,11.7706,4.8922,3.2105,19.0918,1.2034,3.4101,90.2574,1.3468,0.2188,8.6228,3.29,3.88,2.85,42,82,7,63,82,7,0.0037,7e-04,0.013,0.0627,0.015,0.2201,11,63,4
"123",139,-1,-1,295.0657,-1,-1,776.5162,-1,-1,17.7308,-1,-1,302.6483,-1,-1,121.9743,-1,-1,18.9494,-1,-1,16.4106,-1,-1,112.1683,-1,-1,5.222,-1,-1,2.71,-1,-1,7,-1,-1,7,-1,-1,0.0184,-1,-1,0.3826,-1,-1,0
"124",140,911.6709,-1,19.8266,113.9194,-1,3113.8121,1515.5131,-1,0.8609,52.0457,-1,314.7949,22.6254,-1,238.5823,0.5104,-1,5.8792,4.5349,-1,26.9007,1.9759,-1,112.9965,1.1629,-1,23.9589,3.45,-1,2.43,27,-1,16,56,-1,16,0.0031,-1,0.0168,0.0849,-1,0.5139,21,-1,4
"126",142,1227.2942,-1,102.8754,34.4105,-1,332.4384,1241.4934,-1,5.3622,22.1158,-1,105.7259,13.4607,-1,130.6879,1.4802,-1,2.2479,5.6249,-1,29.0383,2.3368,-1,52.1509,0.6207,-1,8.4945,3,-1,2.34,31,-1,11,110,-1,11,0.0028,-1,0.0172,0.0707,-1,0.3256,21,-1,4
"128",144,3492.51,-1,-1,101.9355,-1,-1,299.1273,-1,-1,66.5735,-1,-1,16.9863,-1,-1,4.93,-1,-1,6.6453,-1,-1,13.0958,-1,-1,0.5634,-1,-1,3.65,-1,-1,19,-1,-1,40,-1,-1,0.0055,-1,-1,0.1191,-1,-1,3,-1,-1
"137",155,636.0785,384.1719,6.407,355.818,85.188,3929.791,198.7582,25.9447,1.0162,46.9391,13.2316,172.5931,32.6584,5.5842,334.1267,1.5946,5.6015,9.3386,6.8565,5.3587,14.6314,3.8336,1.6567,58.0179,2.3317,0.86,18.8245,3.7,4.22,3.36,30,67,8,53,67,15,0.0023,5e-04,0.0109,0.0424,0.0064,0.5469,15,53,0
"141",161,845.6879,-1,-1,109.2751,-1,-1,557.2726,-1,-1,65.168,-1,-1,12.8737,-1,-1,2.8498,-1,-1,3.4445,-1,-1,18.9449,-1,-1,0.6395,-1,-1,3.15,-1,-1,23,-1,-1,54,-1,-1,0.0026,-1,-1,0.0323,-1,-1,8,-1,-1
"149",173,-1,-1,33.6286,-1,-1,2530.3453,-1,-1,7.2441,-1,-1,235.4082,-1,-1,226.8002,-1,-1,22.2476,-1,-1,16.6826,-1,-1,132.5685,-1,-1,7.3354,-1,-1,2.46,-1,-1,9,-1,-1,33,-1,-1,0.0196,-1,-1,0.4986,-1,-1,0
"150",174,613.6226,331.1172,-1,818.7347,36.3909,-1,13.3479,23.2965,-1,69.112,12.9099,-1,68.8738,1.7237,-1,7.4473,2.3731,-1,10.4646,2.606,-1,2.4859,0.9342,-1,4.9219,0.3576,-1,4.32,4.33,-1,16,110,-1,88,110,-1,0.0044,2e-04,-1,0.0576,0.0033,-1,9,88,-1
"156",181,1804.9273,-1,-1,36.3853,-1,-1,735.3765,-1,-1,62.2635,-1,-1,12.8003,-1,-1,2.2487,-1,-1,2.9313,-1,-1,20.2568,-1,-1,0.3678,-1,-1,3.72,-1,-1,14,-1,-1,14,-1,-1,0.0049,-1,-1,0.0864,-1,-1,8,-1,-1
"157",182,3436.859,-1,1417.5102,40.724,-1,393.442,346.5781,-1,487.2866,116.0886,-1,292.4366,23.7992,-1,70.8417,18.2188,-1,41.3393,9.2348,-1,10.6842,29.8007,-1,35.8225,0.3335,-1,2.5038,4.01,-1,3.61,46,-1,9,60,-1,9,0.0091,-1,0.0188,0.1636,-1,0.3246,9,-1,0
"161",186,1554.2781,566.8048,-1,39.7503,5.4902,-1,66.7647,10.7426,-1,28.8723,10.5778,-1,5.6059,0.4108,-1,0.9358,0.6549,-1,2.5235,3.0005,-1,3.1209,1.6934,-1,0.3178,0.1503,-1,3.11,3.72,-1,23,92,-1,76,92,-1,0.0024,2e-04,-1,0.0593,0.0042,-1,10,76,-1
