"","Site","B.Al.mg.kg.soil","C.Al.mg.kg.soil","O.Al.mg.kg.soil","B.Ca.mg.kg.soil","C.Ca.mg.kg.soil","O.Ca.mg.kg.soil","B.Fe.mg.kg.soil","C.Fe.mg.kg.soil","O.Fe.mg.kg.soil","B.K.mg.kg.soil","C.K.mg.kg.soil","O.K.mg.kg.soil","B.Mg.mg.kg.soil","C.Mg.mg.kg.soil","O.Mg.mg.kg.soil","B.Mn.mg.kg.soil","C.Mn.mg.kg.soil","O.Mn.mg.kg.soil","B.Na.mg.kg.soil","C.Na.mg.kg.soil","O.Na.mg.kg.soil","B.P.mg.kg.soil","C.P.mg.kg.soil","O.P.mg.kg.soil","B.Sr.mg.kg.soil","C.Sr.mg.kg.soil","O.Sr.mg.kg.soil","B.pH","C.pH","O.pH","B.Bottom_actual","C.Bottom_actual","O.Bottom_actual","B.Bottom_full","C.Bottom_full","O.Bottom_full","B.percent_N","C.percent_N","O.percent_N","B.percent_C","C.percent_C","O.percent_C","B.Top_Depth","C.Top_Depth","O.Top_Depth"
"22",24,684.5487,862.9354,1707.1614,225.4314,12.3873,20.906,1155.018,61.0775,156.0607,172.3776,15.031,51.2819,65.0641,3.4366,8.2625,15.87,16.8375,15.5547,4.936,2.4195,3.4054,38.8626,9.7873,19.4443,2.0426,0.1416,0.2264,3.43,4.06,4.51,48,80,12,48,80,12,0.007,0.0015,0.0027,0.1137,0.0237,0.046,12,48,3
"24",26,2328.6243,641.6585,97.9668,71.7056,12.4177,1387.3823,495.0953,8.6882,79.8783,32.5778,8.3574,212.2616,8.0482,0.3731,79.6764,0.9472,0.4649,9.759,6.6171,3.935,14.4888,10.4338,4.0288,74.2417,0.7028,0.1769,11.9215,3.66,4.19,3.03,25,87,9,77,87,9,0.0027,2e-04,0.0107,0.0656,0.0057,0.2021,9,77,0
"26",28,2772.8982,472.8768,15.7598,116.9993,7.0683,1479.4148,527.6185,18.4225,9.8619,53.6617,18.4103,287.8771,12.6933,0.5916,192.1217,1.8803,1.9866,70.4426,9.8667,6.0416,16.4771,13.2456,3.8843,382.4291,0.9997,0.1491,8.3808,3.83,4.45,3.2,33,72,6,62,72,6,0.0035,3e-04,0.0169,0.0783,0.0045,0.369,12,62,2
"27",29,2338.4696,304.818,119.9243,98.5649,9.7606,846.1246,1335.4671,13.668,71.0955,47.1906,10.7107,208.8436,12.9736,0.2959,90.0274,1.2681,0.6126,23.8316,6.9894,4.5841,12.2651,11.7869,4.8827,75.1301,1.2254,0.2044,8.5924,3.61,4.44,3.13,31,82,10,72,82,10,0.0034,1e-04,0.0126,0.0788,0.0019,0.2546,14,72,0
"31",33,2658.3258,638.7099,308.0948,138.2868,15.0881,750.9032,383.4267,8.888,169.4817,31.709,7.9561,155.7082,10.9108,0.5708,63.4924,1.4011,0.4989,25.2144,8.5965,4.6794,10.8081,6.5023,0.8399,30.6219,1.0417,0.2739,3.9875,5.59,4.08,3.39,20,88,7,78,88,7,0.0031,4e-04,0.0084,0.0635,0.0066,0.1421,7,78,0
"32",34,4056.0008,697.1321,630.6421,68.8897,11.0117,787.2183,154.9124,17.1247,90.7039,14.8256,4.7264,95.0149,7.0787,0.5231,96.2528,1.7728,1.2941,18.7227,7.0844,3.8856,9.0898,5.3869,1.9846,7.2224,0.6832,0.1145,4.6863,3.72,4.13,4.18,28,100,10,75,100,10,0.002,4e-04,0.0065,0.0491,0.0052,0.1124,10,76,0
"33",35,1833.6639,393.9329,74.961,146.1022,8.677,2787.4588,435.7899,7.8874,17.6792,44.1534,5.1184,389.5277,14.0724,0.5037,270.3391,1.0089,0.4573,42.4887,10.4439,4.7186,32.8946,7.7106,1.1777,196.3462,1.1584,0.2429,18.6131,3.4,3.86,2.79,34,50,10,40,50,10,0.0031,1e-04,0.0174,0.0598,0.0041,0.388,14,40,0
"37",39,810.8588,137.3498,-1,91.6955,14.9591,-1,60.2732,14.041,-1,5.8299,9.7904,-1,6.5397,1.3749,-1,4.4683,1.5552,-1,3.742,2.654,-1,2.7673,1.8465,-1,0.8404,0.2398,-1,3.76,4.28,-1,49,73,-1,49,73,-1,8e-04,1e-04,-1,0.0231,0.0024,-1,21,49,-1
"40",42,1561.022,1299.4638,-1,90.217,7.9231,-1,1073.3919,11.1311,-1,59.9673,6.7884,-1,12.5716,0.5168,-1,4.9423,0.4821,-1,5.0017,6.8985,-1,9.7693,3.742,-1,0.5838,0.1718,-1,3.61,4.29,-1,13,82,-1,56,82,-1,0.0031,6e-04,-1,0.0566,0.0101,-1,6,56,-1
"42",44,1177.9621,85.5489,471.5175,144.8836,95.3487,996.2068,43.9199,6.3917,7.7672,30.3086,37.0077,174.1157,17.9676,16.7455,158.7976,9.5439,2.6557,59.775,9.3846,11.2858,25.4969,6.3536,1.0067,9.8151,1.0501,2.3825,6.7413,4.55,4.82,4.43,30,63,18,53,63,18,0.0016,1e-04,0.0073,0.0238,0.0012,0.1111,18,53,2
"44",46,1263.5172,722.5676,169.8415,56.5827,18.579,1532.6871,791.5537,16.1185,89.3441,60.2188,29.7384,376.925,18.2427,1.3336,187.8357,5.0094,0.8149,131.698,8.4211,9.611,20.5083,9.522,1.3744,109.803,0.853,0.5585,10.5443,3.76,4.36,3.47,25,104,4,79,104,4,0.0025,5e-04,0.0127,0.0422,0.0073,0.2543,4,79,0
"45",47,1128.6822,2354.091,72.354,17.2564,9.5177,353.4555,3126.8968,28.2793,32.3685,42.4225,9.5356,289.0152,16.4056,1.084,192.8338,1.4923,1.5056,14.2756,6.1998,3.2946,21.6691,6.411,6.1167,107.9631,0.5514,0.1273,5.8052,3.35,4.29,2.84,17,103,7,57,120,7,0.003,0.001,0.0189,0.064,0.019,0.3564,7,57,0
"47",49,1145.2507,1117.4935,29.4545,82.5245,35.8575,1513.929,704.3001,15.1846,4.1644,24.5431,18.8979,169.5788,11.922,2.1354,205.1096,0.4695,1.0831,2.445,5.8895,6.7457,25.3247,3.5114,2.2946,100.0588,0.8842,0.4884,15.9775,3.57,4.31,2.79,37,105,9,86,105,9,0.0027,5e-04,0.0184,0.0545,0.0087,0.3888,13,86,3
"48",50,890.1009,-1,-1,97.7506,-1,-1,19.0401,-1,-1,32.7419,-1,-1,5.8351,-1,-1,6.4566,-1,-1,6.2791,-1,-1,3.0742,-1,-1,1.0055,-1,-1,4.407,-1,-1,120,-1,-1,120,-1,-1,0.0015,-1,-1,0.023,-1,-1,8,-1,-1
"50",52,2795.528,1234.6919,-1,61.1142,19.6542,-1,236.2674,20.1451,-1,39.1351,22.7559,-1,7.717,1.683,-1,2.6347,1.7338,-1,7.4299,13.7066,-1,8.685,1.6505,-1,0.674,0.4866,-1,3.42,3.81,-1,21,64,-1,54,64,-1,0.0019,5e-04,-1,0.0346,0.0087,-1,8,54,-1
"51",53,2455.4469,1728.4734,132.9108,65.6654,9.1565,1537.9652,1238.8426,13.8435,15.0604,36.7937,19.8794,217.3623,10.944,0.7506,158.1973,1.0965,1.521,15.6899,6.963,6.4664,21.8034,6.7077,3.1426,104.7645,0.8179,0.2852,12.4756,3.06,3.72,2.47,54,105,8,70,105,8,0.0031,7e-04,0.0233,0.0617,0.0132,0.4309,11,70,0
"53",55,2467.4275,539.2369,-1,32.7007,15.0185,-1,85.7731,18.5093,-1,37.5539,11.2704,-1,5.815,1.2876,-1,0.7974,1.347,-1,5.4475,4.7611,-1,3.4594,1.6752,-1,0.4827,0.2356,-1,3.42,4.08,-1,16,110,-1,90,110,-1,0.0025,4e-04,-1,0.0467,0.0054,-1,8,90,-1
"55",57,2925.821,528.4748,51.979,239.2021,10.2005,2524.1504,773.109,12.1912,12.1415,33.6177,12.81,156.7144,11.0889,0.6485,160.5143,0.9294,1.2965,8.2706,7.2488,4.91,17.0042,2.3477,0.5116,78.955,1.6861,0.2106,14.9575,3.28,3.99,2.71,30,80,11,70,80,11,0.0029,1e-04,0.0118,0.072,0.003,0.385,14,70,0
"56",58,4104.0072,868.3407,32.7449,174.9767,11.0762,3263.2843,486.2095,7.7954,5.0482,21.3488,2.4185,214.145,11.1972,0.239,283.6573,0.4657,0.3181,12.4491,6.2053,2.6094,17.8745,1.9697,0.8965,138.0702,1.5144,0.1554,22.9954,4,4.53,4.14,28,85,15,67,85,15,0.0027,2e-04,0.0187,0.0771,0.0058,0.4268,20,67,0
"58",60,2446.2176,861.6036,42.254,85.6049,6.2209,2003.645,1395.5528,11.5517,6.629,28.8893,3.3514,219.7041,22.339,0.6921,429.5915,0.8916,2.0676,4.8446,6.5061,2.1881,38.0906,3.2287,2.0567,122.7063,1.2812,0.1238,21.4295,3.75,4.52,3.09,30,80,14,64,80,14,0.0029,4e-04,0.0211,0.0688,0.0061,0.4492,19,64,5
"59",61,3827.8227,1407.8055,40.568,267.6555,14.546,1861.0201,1538.4307,9.1194,7.8089,41.3251,4.541,233.079,13.2682,0.3602,212.259,1.1822,0.1333,13.2472,15.0116,3.8629,16.2585,4.9011,2.7129,179.7492,1.6991,0.1498,9.2155,3.76,4.36,3.23,30,80,9,58,80,9,0.0038,6e-04,0.0146,0.0928,0.0111,0.2754,16,58,5
"60",62,3016.0579,388.5829,25.5803,108.4315,4.4661,1688.9271,1964.8161,6.9078,2.8785,31.5564,2.258,152.1791,9.7404,0.2015,96.3305,0.8274,0.7125,17.7586,7.0351,1.6486,24.3664,3.1451,2.1238,119.4728,1.3996,0.0582,17.5118,3.69,4.5067,2.91,40,122,12,86,122,12,0.0033,1e-04,0.0174,0.0803,0.0031,0.4558,20,86,0
"61",63,2005.8641,1436.4243,87.9662,26.5141,6.9494,928.8558,860.1626,40.3914,41.5224,80.6058,12.0943,418.4941,15.2043,1.7791,319.5017,5.9789,7.5419,47.4774,3.2891,2.3261,15.7415,10.2211,2.9348,84.9147,0.2397,0.0716,7.5817,3.88,4.36,3.28,23,100,7,59,100,7,0.0034,8e-04,0.0152,0.0559,0.0133,0.2775,7,59,3
"64",66,3258.059,1099.2026,20.755,70.4349,5.286,2312.8681,1404.7589,8.892,1.783,39.2522,5.4581,98.09,8.7487,0.2901,69.7242,0.3953,0.4281,1.9104,12.754,2.9227,24.4041,3.0358,3.1452,77.205,1.732,0.115,29.3961,3.83,4.13,3.04,33,74,12,46,74,12,0.0034,4e-04,0.0162,0.0964,0.0085,0.4195,16,46,3
"67",69,1193.9555,361.3569,-1,42.2827,2.3908,-1,628.9156,35.8264,-1,34.5788,7.1478,-1,9.1173,0.4286,-1,0.8208,0.0914,-1,6.3254,3.5434,-1,4.8924,0.4771,-1,0.5588,0.0953,-1,3.48,4.15,-1,35,63,-1,49,63,-1,0.002,2e-04,-1,0.0411,0.0044,-1,23,49,-1
"70",72,1135.2095,-1,120.7984,14.3567,-1,67.6006,533.3506,-1,139.7413,34.8392,-1,50.8808,10.9917,-1,23.712,0.7451,-1,2.5438,6.2747,-1,4.7804,3.5822,-1,12.0162,0.2576,-1,0.8694,3.33,-1,2.78,34,-1,9,101,-1,9,0.0027,-1,0.011,0.0619,-1,0.2086,13,-1,0
"75",77,2176.54,717.675,40.4268,45.3736,3.4108,968.0942,556.9488,24.309,8.0298,42.1081,8.4638,354.7625,10.605,0.5958,162.5965,2.0602,1.5956,17.2531,5.1251,3.9481,16.0773,8.0044,0.6653,106.8911,0.3703,0.0036,5.6397,3.47,4.12,2.97,29,100,8,70,100,8,0.0034,6e-04,0.0169,0.0702,0.0096,0.3106,12,70,3
"78",80,2299.0027,1132.2219,166.4285,40.8265,7.4896,327.7708,917.7555,14.1548,194.0698,54.2001,7.6598,172.9974,11.3555,0.383,62.9354,1.3957,0.9828,18.8033,6.669,3.4785,8.6582,9.1181,3.2291,48.4024,0.4059,0.1155,1.9422,3.65,4.25,3.15,40,90,6,73,90,6,0.004,4e-04,0.0116,0.0843,0.0083,0.2019,10,73,3
"80",83,1720.9035,84.9015,13.6674,103.6292,513.5154,6635.4864,931.3526,14.4852,5.4267,49.6555,48.1644,672.076,23.8876,158.281,338.9104,1.8459,5.3868,193.2712,9.7666,29.6322,28.1158,7.822,-0.8988,258.8437,1.0269,6.3628,33.7033,4.33,3.22,3.83,19,61,5,51,61,5,0.0028,2e-04,0.0261,0.0533,0.0021,0.4787,12,51,0
"82",85,2230.014,487.1306,254.6378,34.9728,5.0193,825.0699,662.0345,6.3868,123.9095,64.5276,40.0586,296.0517,8.4656,0.7738,125.7425,1.7329,0.8769,65.1155,4.8377,12.782,12.504,8.567,7.2299,71.9742,0.386,0.3582,5.932,4.31,2.56,3.86,22,82,6,62,82,6,0.0028,2e-04,0.01,0.051,0.0028,0.2118,11,62,3
"83",86,2577.9445,1372.2171,44.6408,29.284,45.8244,1180.1734,549.8238,59.257,9.8626,40.9989,27.8234,360.8802,13.513,6.5749,476.9192,0.7628,2.8053,6.6221,6.5344,7.9644,19.2424,2.6286,2.4716,110.244,0.9157,0.6208,12.7207,3.8,2.6,3.48,48,104,22,72,104,22,0.0017,9e-04,0.0211,0.0551,0.0198,0.4825,30,72,0
"85",88,1407.3711,960.2423,-1,40.7211,4.7392,-1,1096.8148,13.5889,-1,37.2627,12.925,-1,10.8887,0.5319,-1,2.0751,0.96,-1,6.5725,4.6877,-1,7.4119,0.1726,-1,0.5389,0.1302,-1,4.13,2.76,-1,42,110,-1,86,110,-1,0.0029,5e-04,-1,0.0636,0.0091,-1,17,86,-1
"86",101,2577.3846,1926.9544,179.3098,72.4114,31.5531,1476.2177,23.7745,36.2159,7.379,21.7342,13.7238,129.5067,6.9344,2.5731,334.7118,1.3534,0.8239,3.909,5.9796,5.3352,35.0276,0.6316,-1.1441,33.418,0.6871,0.3292,30.4288,4.22,2.75,3.89,47,65,23,55,65,23,0.0027,9e-04,0.016,0.0658,0.0204,0.4766,32,55,12
"91",106,1438.1217,550.2082,-1,42.5906,5.6759,-1,175.9008,16.9948,-1,40.0759,10.7077,-1,10.6039,0.6387,-1,1.0282,1.6798,-1,3.6821,3.3472,-1,9.4515,1.3377,-1,0.3731,0.0643,-1,4.01,4.65,-1,26,67,-1,52,67,-1,0.0037,7e-04,-1,0.0569,0.0044,-1,11,52,-1
"92",107,3485.9304,551.5076,114.9647,60.8503,15.2986,1217.8217,663.7389,11.2806,14.5153,41.4908,4.4214,464.8914,8.1832,0.5974,139.7178,3.0797,0.9562,219.3261,13.2627,3.8485,22.8765,6.3906,1.1786,178.816,0.8973,0.2682,8.0603,3.98,4.52,3.43,24,110,2,79,110,2,0.0041,6e-04,0.0196,0.0923,0.0076,0.3374,7,79,0
"95",110,1021.9553,520.4908,47.6342,23.7489,2.9198,1007.4462,443.8278,10.7194,3.712,18.5543,4.7055,202.9182,5.7078,0.4377,108.6138,0.31,0.579,6.0381,6.1968,2.3467,22.545,0.0822,1.8815,102.0866,0.4361,0.0536,13.6098,3.56,4.41,2.85,24,105,11,72,105,11,0.0027,3e-04,0.0233,0.0716,0.007,0.4736,16,72,5
"97",112,1784.3257,-1,36.7048,24.0164,-1,400.5997,1317.2246,-1,7.9722,47.413,-1,175.2862,11.0578,-1,135.5971,0.5406,-1,23.1453,5.704,-1,7.7034,5.0759,-1,103.8347,0.4123,-1,3.5822,3.56,-1,2.91,18,-1,8,110,-1,8,0.0037,-1,0.0175,0.0853,-1,0.3413,13,-1,4
"98",113,1360.6404,657.1684,625.0285,79.9129,7.3473,195.5758,683.0879,13.0409,463.4297,26.6108,3.159,80.3751,10.5347,0.4604,46.8437,0.8359,0.777,4.3224,7.7933,2.6613,7.3533,1.0215,1.6418,10.4334,1.0306,0.111,1.551,2.95,3.64,2.69,48,72,7,62,72,7,0.0028,2e-04,0.0081,0.0685,0.0054,0.158,9,62,4
"100",115,2085.9287,-1,24.9643,197.5924,-1,2705.0893,681.9072,-1,8.162,29.5873,-1,559.0007,10.8618,-1,301.8262,1.0577,-1,118.9805,8.8217,-1,24.1608,2.8804,-1,212.5898,1.4282,-1,9.8375,3.26,-1,2.69,20,-1,4,68,-1,4,0.0034,-1,0.0212,0.0822,-1,0.4812,7,-1,0
