Plot,NE,Species,Leaf count,Leaf size,LAI,Percent cover,,,,,,,,,,,,A,NE
198,SW,MIACAN,3,20,60,A,,,,,,,,,,,,,
198,SE2,VIBLAT,22,80,1760,B,,,,,,,,,,,,,
198,SE2,MIACAN,40,15,600,A,,,,,,,,,,,,,
198,SE2,TRIBOR,6,10,60,A,,,,,,,,,,,,,
198,SE2,FAGGRA,55,35,1925,B,,,,,,,,,,,,,
198,SE2,DRYINT,5,80,400,B,,,,,,,,,,,,,
198,SE2,CLIBOR,4,40,160,A,,,,,,,,,,,,,
198,NW,VIBLAT,7,50,350,A,,,,,,,,,,,,,
199,NE,ANEQUI,23,10,230,A,,,,,,,,,,,,,
199,NE,MITREP,25,1,25,A,,,,,,,,,,,,,
199,NE,UVUSES,30,5,150,A,,,,,,,,,,,,,
199,NE,BRAARI,27,10,270,A,,,,,,,,,,,,,
199,NE,THENOV,22,10,220,A,,,,,,,,,,,,,
199,NE,TRIBOR,13,2,26,A,,,,,,,,,,,,,
199,NE,ERYAME,2,3,6,A,,,,,,,,,,,,,
199,NE2,UVUSES,29,6,174,A,,,,,,,,,,,,,
199,NE2,VIBLAT,4,10,40,A,,,,,,,,,,,,,
199,NE2,PREULT,3,15,45,A,,,,,,,,,,,,,
199,NE2,MITREP,16,1,16,A,,,,,,,,,,,,,
199,NE2,ACERUB,20,1,20,A,,,,,,,,,,,,,
199,NE2,ERYAME,5,7,35,A,,,,,,,,,,,,,
199,NE2,THENOV,2,8,16,A,,,,,,,,,,,,,
199,NE2,TRIBOR,17,3,51,A,,,,,,,,,,,,,
199,NE2,MIACAN,6,6,36,A,,,,,,,,,,,,,
199,NE2,ANEQUI,9,10,90,A,,,,,,,,,,,,,
199,NE2,ARANUD,3,5,15,A,,,,,,,,,,,,,
199,SE,MIACAN,1,5,5,A,,,,,,,,,,,,,
199,SE,MITREP,227,1,227,A,,,,,,,,,,,,,
199,SE,ANEQUI,2,5,10,A,,,,,,,,,,,,,
199,SE,BRAARI,2,5,10,A,,,,,,,,,,,,,
199,SE,ACERUB,4,0.5,2,A,,,,,,,,,,,,,
199,SE,UVUSES,3,2,6,A,,,,,,,,,,,,,
199,SW,UVUSES,47,5,235,A,,,,,,,,,,,,,
199,SW,CLIBOR,8,10,80,A,,,,,,,,,,,,,
199,SW,ACERUB,8,0.5,4,A,,,,,,,,,,,,,
199,SW,MIACAN,4,2,8,A,,,,,,,,,,,,,
199,NW,MEDVIR,55,7,385,B,,,,,,,,,,,,,
199,NW,UVUSES,30,5,150,A,,,,,,,,,,,,,
199,NW,MIACAN,7,10,70,A,,,,,,,,,,,,,
199,NW,TRIBOR,34,4,136,A,,,,,,,,,,,,,
199,NW,ANEQUI,8,4,32,A,,,,,,,,,,,,,
199,NW,THENOV,7,10,70,A,,,,,,,,,,,,,
199,NW,MITREP,486,1,486,B,,,,,,,,,,,,,
199,NW,PICRUB,-1,-1,3260,C,,,,,,,,,,,,,
199,NW,TSUCAN,-1,-1,75,A,,,,,,,,,,,,,
199,NW,BRAARI,2,10,20,A,,,,,,,,,,,,,
199,NW,ACERUB,6,0.5,3,A,,,,,,,,,,,,,
199,NW,BETALL,6,8,48,A,,,,,,,,,,,,,
197,NE,ACESAC,10,3,30,A,,,,,,,,,,,,,
197,NE,DRYINT,2,40,80,A,,,,,,,,,,,,,
197,NE,LYCHIC,1,80,80,A,,,,,,,,,,,,,
197,NE,MIACAN,1,10,10,A,,,,,,,,,,,,,
197,NE,HUPLUC,1,5,5,A,,,,,,,,,,,,,
197,SE,ACEPEN,2,3,6,A,,,,,,,,,,,,,
197,SE,ACESAC,8,0.5,4,A,,,,,,,,,,,,,
197,SE,PICRUB2,-1,-1,2040,C,,,,,,,,,,,,,
197,SW,ACESAC,1.5,16,24,A,,,,,,,,,,,,,
197,NW2,STRROS,14,12,168,A,,,,,,,,,,,,,
197,NW2,VIBLAT,4,15,60,A,,,,,,,,,,,,,
197,NW2,ACESAC,10,2,20,A,,,,,,,,,,,,,
197,NW2,MIACAN,1,10,10,A,,,,,,,,,,,,,
197,NW,STRROS,3,17,51,A,,,,,,,,,,,,,
197,NW,UVUSES,5,4,20,A,,,,,,,,,,,,,
197,NW,ACESAC,6,1,6,A,,,,,,,,,,,,,
195,NE,TIACOR,14,20,280,A,,,,,,,,,,,,,
195,NE,VIBNUD,55,10,550,A,,,,,,,,,,,,,
195,NE,ARANUD,7,20,140,A,,,,,,,,,,,,,
195,NE,ACESAC,-1,-1,280,A,,,,,,,,,,,,,
195,NE,DRYINT,3,175,525,A,,,,,,,,,,,,,
195,NE,UVUSES,60,13,780,A,,,,,,,,,,,,,
195,NE,PRUSPP,8,8,64,A,,,,,,,,,,,,,
195,NE,MEDVIR,46,10,460,A,,,,,,,,,,,,,
195,NE,TRIBOR,102,10,1020,A,,,,,,,,,,,,,
